Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,40421.55078125,41050.0,40380.05078125,40929.30078125,40765.45703125,9614
2022-01-04,40950.0,41261.19921875,40750.0,40959.8515625,40795.88671875,13843
2022-01-05,40765.5,41586.69921875,40701.55078125,41210.94921875,41045.9765625,13700
2022-01-06,40950.0,42200.0,40820.05078125,42059.55078125,41891.18359375,27571
2022-01-07,42076.5,44397.25,42000.0,44087.1484375,43910.6640625,61016
2022-01-10,44100.0,44251.0,43423.69921875,43635.3515625,43460.67578125,14317
2022-01-11,43225.5,44046.6015625,43225.5,43637.1015625,43462.421875,15467
2022-01-12,43720.19921875,44550.75,43500.0,44407.94921875,44230.1796875,18045
2022-01-13,44450.0,45155.0,44051.44921875,44390.3515625,44212.65234375,27112
2022-01-14,44360.0,44699.69921875,43828.94921875,44607.69921875,44429.1328125,16004
2022-01-17,44600.0,45600.0,44300.0,44450.44921875,44272.51171875,17938
2022-01-18,44584.94921875,44699.75,43500.0,43669.94921875,43495.1328125,19700
2022-01-19,43799.8984375,43890.0,43250.25,43390.3984375,43216.703125,15018
2022-01-20,43344.3984375,43857.80078125,43127.55078125,43665.30078125,43490.50390625,14464
2022-01-21,43550.0,43550.0,42262.05078125,42539.94921875,42369.65625,13851
2022-01-24,42559.94921875,44200.0,39679.0,39915.6015625,39755.81640625,24258
2022-01-25,39999.0,41475.05078125,39289.80078125,41320.6015625,41155.19140625,21311
2022-01-27,41150.0,41232.55078125,39201.5,40804.3515625,40641.0078125,27190
2022-01-28,41256.0,43150.44921875,41249.8515625,41841.25,41673.75390625,23372
2022-01-31,42399.94921875,42999.8984375,42073.55078125,42426.05078125,42256.21484375,18628
2022-02-01,42900.0,43300.0,42451.1484375,43190.6484375,43017.75,13865
2022-02-02,43458.8984375,43865.25,43088.94921875,43221.1484375,43048.1328125,10815
2022-02-03,43000.0,43748.75,42225.05078125,42458.55078125,42288.5859375,18463
2022-02-04,42458.55078125,42624.75,41547.0,41691.3515625,41524.45703125,14639
2022-02-07,41850.0,41935.0,40500.0,40715.5,40552.51171875,10597
2022-02-08,40900.0,41426.6015625,40400.0,40884.19921875,40720.53515625,31879
2022-02-09,41399.0,42520.0,41066.8515625,42415.3515625,42245.55859375,22580
2022-02-10,42151.0,42628.94921875,40300.0,40953.5,40789.55859375,52366
2022-02-11,40902.1015625,41500.0,39688.8515625,39803.30078125,39643.96484375,43217
2022-02-14,39714.94921875,39850.0,38944.69921875,39129.30078125,38972.6640625,19164
2022-02-15,39343.6484375,41500.0,39297.1484375,41312.75,41147.37109375,34400
2022-02-16,41200.0,41650.0,41007.5,41271.3515625,41106.140625,14332
2022-02-17,41800.0,43103.0,41500.19921875,42236.1015625,42169.203125,46013
2022-02-18,42000.1015625,42229.0,41271.6484375,41496.44921875,41430.72265625,13957
2022-02-21,41400.0,41870.75,40740.1484375,41019.80078125,40954.828125,18653
2022-02-22,39600.1015625,41149.8515625,39600.1015625,40771.75,40707.171875,18106
2022-02-23,42950.0,42950.0,40919.3984375,41137.94921875,41072.7890625,30588
2022-02-24,40400.0,40983.44921875,39755.0,40196.69921875,40133.03125,29126
2022-02-25,40400.0,41882.1484375,40400.0,41476.6015625,41410.90625,23347
2022-02-28,41425.5,42499.8984375,40450.0,42256.19921875,42189.26953125,26868
2022-03-02,42047.0,42149.94921875,41076.19921875,41597.8515625,41531.96484375,22523
2022-03-03,42499.0,42499.0,41520.1484375,41827.44921875,41761.19921875,22708
2022-03-04,41380.0,41570.8984375,40380.0,40996.25,40931.31640625,21161
2022-03-07,40399.0,40399.0,39627.25,39914.30078125,39851.078125,22782
2022-03-08,39720.0,40299.8984375,39013.75,39514.3984375,39451.80859375,35251
2022-03-09,39870.0,40199.5,39455.0,39999.19921875,39935.84375,29402
2022-03-10,40600.0,41285.0,40450.0,41000.55078125,40935.609375,17887
2022-03-11,40750.0,41600.0,40639.0,41488.8515625,41423.13671875,10969
2022-03-14,41350.0,41835.3984375,40912.55078125,41686.69921875,41620.671875,14668
2022-03-15,41624.44921875,41624.44921875,40954.0,41230.69921875,41165.390625,22771
2022-03-16,41444.0,42566.94921875,41356.75,42354.94921875,42287.86328125,24233
2022-03-17,42430.0,43099.94921875,42050.6015625,42674.1015625,42606.5078125,32302
2022-03-21,43000.0,43099.0,41655.94921875,41826.19921875,41759.94921875,17924
2022-03-22,41826.0,41955.80078125,40777.0,41790.1015625,41723.91015625,23776
2022-03-23,41826.0,42335.94921875,41711.19921875,42024.55078125,41957.98828125,17247
2022-03-24,41890.0,42211.94921875,41161.6015625,41383.55078125,41318.00390625,17977
2022-03-25,41670.0,41723.69921875,40341.44921875,40444.69921875,40380.63671875,18484
2022-03-28,40520.0,40699.8515625,39950.6015625,40188.69921875,40125.04296875,10811
2022-03-29,40507.75,41059.0,40310.6484375,40806.05078125,40741.41796875,12043
2022-03-30,41200.0,42250.0,41064.30078125,41952.69921875,41886.25,17190
2022-03-31,41950.0,43621.8515625,41800.19921875,43189.3515625,43120.94140625,37837
2022-04-01,43189.3515625,43278.3515625,42776.6015625,43147.5,43079.15625,13199
2022-04-04,43149.0,43885.0,42943.44921875,43713.0,43643.76171875,17974
2022-04-05,43713.0,44470.0,43484.55078125,44332.8515625,44262.6328125,11661
2022-04-06,44000.05078125,44800.0,43930.3984375,44423.69921875,44353.3359375,14615
2022-04-07,44400.0,44412.3984375,43520.0,44108.80078125,44038.93359375,21768
2022-04-08,44200.0,45150.0,43926.94921875,44983.8984375,44912.6484375,16170
2022-04-11,44983.8984375,45767.5,44783.8984375,45689.44921875,45617.08203125,16302
2022-04-12,45605.5,45999.5,44539.55078125,44635.6484375,44564.94921875,22716
2022-04-13,44800.0,45190.44921875,44294.0,44817.1015625,44746.11328125,15207
2022-04-18,44715.0,45399.3984375,44354.8515625,45276.19921875,45204.484375,11027
2022-04-19,45300.0,46500.0,44859.8515625,45437.80078125,45365.83203125,25382
2022-04-20,45247.0,45830.8984375,45009.80078125,45121.8515625,45050.3828125,10866
2022-04-21,45201.0,46000.0,45201.0,45814.0,45741.43359375,11665
2022-04-22,45749.80078125,46000.0,45540.05078125,45872.3984375,45799.73828125,8154
2022-04-25,45631.1015625,45694.1484375,44760.0,44866.3515625,44795.28515625,27997
2022-04-26,45120.0,46737.69921875,45031.55078125,46563.75,46489.99609375,15222
2022-04-27,46211.0,46557.8984375,45648.69921875,45781.75,45709.234375,14943
2022-04-28,46280.0,46369.8984375,45380.25,45862.3515625,45789.70703125,21684
2022-04-29,45949.94921875,46248.0,45447.55078125,45578.75,45506.5546875,13644
2022-05-02,45450.0,45788.8515625,45000.0,45595.44921875,45523.23046875,17293
2022-05-04,45800.0,46181.0,45075.0,45345.1015625,45273.27734375,23209
2022-05-05,45700.0,46264.3984375,45500.0,45722.6015625,45650.1796875,24085
2022-05-06,45399.8984375,45500.0,44708.44921875,44911.5,44840.36328125,19910
2022-05-09,44890.0,44890.0,42402.94921875,42619.94921875,42552.44140625,25921
2022-05-10,42360.30078125,42599.94921875,40404.05078125,40839.1484375,40774.4609375,46096
2022-05-11,41000.0,42146.3984375,40512.1015625,41785.6015625,41719.4140625,23731
2022-05-12,41699.0,41777.1484375,40625.19921875,40915.0,40850.19140625,16682
2022-05-13,41570.0,42989.8984375,41388.6015625,41787.6015625,41721.4140625,25039
2022-05-16,41815.19921875,42600.0,41743.69921875,42394.0,42326.8515625,12900
2022-05-17,42394.0,42899.0,41809.6484375,42087.05078125,42020.38671875,20576
2022-05-18,42587.75,43080.0,42314.69921875,42916.8984375,42848.921875,22669
2022-05-19,42401.0,42600.0,41600.1484375,41866.69921875,41800.38671875,23043
2022-05-20,42500.0,42912.0,42252.1015625,42568.6015625,42501.17578125,17876
2022-05-23,42565.0,43074.94921875,42001.0,42184.8984375,42118.08203125,11852
2022-05-24,42397.0,43348.0,42010.0,42940.3984375,42872.3828125,16912
