Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,22600
2022-01-04,21.100000381469727,21.100000381469727,19.100000381469727,21.100000381469727,21.100000381469727,132777
2022-01-05,22.149999618530273,22.149999618530273,22.149999618530273,22.149999618530273,22.149999618530273,16624
2022-01-06,23.25,23.25,21.049999237060547,21.049999237060547,21.049999237060547,30133
2022-01-07,21.049999237060547,21.049999237060547,21.049999237060547,21.049999237060547,21.049999237060547,0
2022-01-10,20.0,20.0,20.0,20.0,20.0,2670
2022-01-11,20.0,20.0,20.0,20.0,20.0,0
2022-01-12,20.0,20.0,20.0,20.0,20.0,0
2022-01-13,20.0,20.0,20.0,20.0,20.0,0
2022-01-14,20.0,20.0,20.0,20.0,20.0,0
2022-01-17,20.0,20.0,20.0,20.0,20.0,0
2022-01-18,20.0,20.0,20.0,20.0,20.0,0
2022-01-19,20.0,20.0,20.0,20.0,20.0,0
2022-01-20,20.0,20.0,20.0,20.0,20.0,0
2022-01-21,20.0,20.0,20.0,20.0,20.0,0
2022-01-24,19.0,19.0,19.0,19.0,19.0,549
2022-01-25,19.0,19.0,19.0,19.0,19.0,0
2022-01-27,19.0,19.0,19.0,19.0,19.0,0
2022-01-28,19.0,19.0,19.0,19.0,19.0,0
2022-01-31,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,407
2022-02-01,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-02,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-03,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-04,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-07,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-08,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-09,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-10,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-11,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-14,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
2022-02-15,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,0
